Episode,Avg Reward,Steps,Total Reward
743,-0.7335127860026918,29,-545
744,-0.7338709677419355,9,-546
745,-0.7342281879194631,5,-547
746,-0.7345844504021448,8,-548
747,-0.7349397590361446,93,-549
748,-0.7352941176470589,49,-550
749,-0.7356475300400535,40,-551
750,-0.736,28,-552
751,-0.7363515312916112,21,-553
752,-0.7367021276595744,48,-554
753,-0.7343957503320053,49,-553
754,-0.7347480106100795,2,-554
755,-0.7337748344370861,100,-554
756,-0.7341269841269841,29,-555
757,-0.7318361955085865,30,-554
758,-0.7321899736147758,15,-555
759,-0.7325428194993412,12,-556
760,-0.7328947368421053,12,-557
761,-0.7332457293035479,13,-558
762,-0.7309711286089239,45,-557
763,-0.7313237221494102,6,-558
764,-0.731675392670157,72,-559
765,-0.7320261437908496,15,-560
766,-0.7323759791122716,1,-561
767,-0.7327249022164276,29,-562
768,-0.7330729166666666,42,-563
769,-0.7334200260078023,31,-564
770,-0.7337662337662337,11,-565
771,-0.7341115434500648,17,-566
772,-0.7344559585492227,43,-567
773,-0.7347994825355757,61,-568
774,-0.7351421188630491,5,-569
775,-0.7329032258064516,28,-568
776,-0.7306701030927835,31,-567
777,-0.731016731016731,44,-568
778,-0.7287917737789203,50,-567
779,-0.7265725288831836,23,-566
780,-0.7269230769230769,29,-567
781,-0.7247119078104993,29,-566
782,-0.7250639386189258,3,-567
783,-0.7254150702426565,13,-568
784,-0.7257653061224489,1,-569
785,-0.7261146496815286,19,-570
786,-0.7239185750636132,27,-569
787,-0.7242693773824651,1,-570
788,-0.7246192893401016,82,-571
789,-0.7249683143219265,21,-572
790,-0.7253164556962025,75,-573
791,-0.7243994943109987,100,-573
792,-0.7247474747474747,38,-574
793,-0.725094577553594,12,-575
794,-0.7229219143576826,24,-574
795,-0.7232704402515723,1,-575
796,-0.7236180904522613,36,-576
797,-0.7214554579673776,25,-575
798,-0.7218045112781954,1,-576
799,-0.7221526908635795,20,-577
800,-0.7225,1,-578
801,-0.7203495630461922,37,-577
802,-0.7206982543640897,15,-578
803,-0.7185554171855542,38,-577
804,-0.7164179104477612,29,-576
805,-0.7167701863354037,7,-577
806,-0.7146401985111662,45,-576
807,-0.7149938042131351,3,-577
808,-0.7128712871287128,30,-576
809,-0.7132262051915945,70,-577
810,-0.7111111111111111,30,-576
811,-0.7090012330456227,44,-575
812,-0.7093596059113301,18,-576
813,-0.7097170971709718,33,-577
814,-0.7100737100737101,61,-578
815,-0.7104294478527607,5,-579
816,-0.7083333333333334,36,-578
817,-0.7062423500611995,28,-577
818,-0.706601466992665,3,-578
819,-0.706959706959707,12,-579
820,-0.7073170731707317,18,-580
821,-0.707673568818514,33,-581
822,-0.708029197080292,17,-582
823,-0.7083839611178615,82,-583
824,-0.7087378640776699,4,-584
825,-0.7090909090909091,7,-585
826,-0.7094430992736077,48,-586
827,-0.7097944377267231,3,-587
828,-0.7101449275362319,60,-588
829,-0.7104945717732207,2,-589
830,-0.7108433734939759,28,-590
831,-0.7087845968712395,50,-589
832,-0.7067307692307693,41,-588
833,-0.7070828331332533,24,-589
834,-0.7074340527577938,7,-590
835,-0.7077844311377246,1,-591
836,-0.7081339712918661,1,-592
837,-0.7084826762246117,24,-593
838,-0.7088305489260143,45,-594
839,-0.7067938021454112,45,-593
840,-0.7071428571428572,1,-594
841,-0.7074910820451843,6,-595
842,-0.7078384798099763,13,-596
843,-0.708185053380783,30,-597
844,-0.7085308056872038,12,-598
845,-0.7065088757396449,37,-597
846,-0.706855791962175,1,-598
847,-0.7072018890200709,2,-599
848,-0.7075471698113207,1,-600
849,-0.7078916372202592,13,-601
850,-0.7082352941176471,5,-602
851,-0.7085781433607521,75,-603
